start_lat,start_lon,f0_,member_type
42.06,-87.74,1,member
41.95,-87.84,5,member
41.8,-87.8,2,casual
41.74,-87.71,8,casual
41.68,-87.69,2,member
42.01,-87.74,2,casual
41.7,-87.72,1,member
41.66,-87.57,1,casual
41.99,-87.85,1,member
42.0,-87.66,17956,member
41.9,-87.62,145473,member
41.96,-87.65,57934,casual
41.92,-87.67,22623,member
41.87,-87.69,22686,member
41.89,-87.63,369478,member
41.93,-87.66,62726,casual
41.77,-87.64,1047,casual
41.91,-87.75,369,member
41.9,-87.75,1332,member
41.92,-87.72,7095,casual
41.92,-87.74,2488,member
41.93,-87.73,2532,member
41.97,-87.68,20165,member
41.88,-87.67,15981,member
41.84,-87.65,9912,casual
41.88,-87.66,39979,casual
41.92,-87.68,41060,casual
41.88,-87.62,322808,casual
41.89,-87.63,278785,casual
41.85,-87.63,24344,casual
41.92,-87.77,1421,casual
41.92,-87.73,4554,casual
42.0,-87.71,877,casual
41.91,-87.63,227664,casual
41.87,-87.66,107122,member
41.75,-87.59,686,member
41.94,-87.65,180543,casual
41.9,-87.67,124345,member
41.89,-87.69,12295,member
41.96,-87.67,36645,member
41.76,-87.55,1036,casual
41.7,-87.66,480,member
41.94,-87.69,11648,member
41.9,-87.73,912,casual
41.93,-87.74,2099,member
41.9,-87.66,23241,casual
41.8,-87.6,18904,casual
41.76,-87.57,1350,casual
41.93,-87.73,2132,casual
41.93,-87.8,558,member
41.94,-87.67,35071,casual
42.02,-87.68,3303,casual
41.99,-87.7,1338,casual
41.87,-87.69,8743,casual
41.79,-87.61,2898,member
41.89,-87.66,20532,casual
41.88,-87.75,490,member
41.9,-87.64,155704,member
41.72,-87.65,198,casual
41.77,-87.57,7033,casual
41.94,-87.74,1638,member
42.06,-87.68,9502,member
41.9,-87.7,22610,member
41.9,-87.75,1099,casual
41.73,-87.56,434,casual
41.97,-87.72,843,member
41.78,-87.72,392,member
41.77,-87.63,1164,casual
41.82,-87.62,5397,member
41.98,-87.65,26994,casual
41.79,-87.67,660,casual
41.73,-87.57,274,casual
41.86,-87.61,26377,member
41.87,-87.65,93797,member
41.91,-87.76,901,casual
41.83,-87.61,5463,member
41.92,-87.76,1670,casual
41.85,-87.63,22008,member
41.96,-87.75,2326,casual
41.71,-87.61,418,casual
41.9,-87.64,76133,casual
41.98,-87.69,2423,casual
41.71,-87.63,284,casual
41.97,-87.76,785,member
41.86,-87.68,1863,member
41.95,-87.83,287,casual
41.85,-87.67,795,member
42.05,-87.67,4444,casual
41.82,-87.7,734,member
41.78,-87.64,1209,casual
41.88,-87.74,2328,member
42.07,-87.68,116,casual
41.86,-87.65,27215,casual
41.97,-87.64,991,member
41.87,-87.72,133,member
41.85,-87.73,268,casual
41.68,-87.64,681,member
41.89,-87.71,756,casual
41.89,-87.77,3002,casual
41.78,-87.79,42,casual
41.94,-87.81,610,casual
41.93,-87.69,6401,member
41.88,-87.74,890,casual
41.83,-87.64,4938,member
41.93,-87.63,60536,member
41.74,-87.6,1154,member
41.82,-87.71,64,member
42.01,-87.67,13726,casual
41.8,-87.68,242,member
41.76,-87.66,253,member
41.89,-87.75,1070,casual
41.87,-87.61,18619,member
41.83,-87.63,13056,casual
42.03,-87.7,924,member
41.83,-87.6,250,member
41.82,-87.61,4354,member
41.86,-87.63,20366,casual
41.94,-87.83,191,casual
41.97,-87.71,7221,casual
41.84,-87.66,3594,member
41.77,-87.72,258,casual
41.79,-87.57,1,casual
41.86,-87.73,539,casual
41.77,-87.66,385,member
41.7,-87.61,76,member
41.84,-87.7,1148,casual
41.84,-87.66,2195,casual
41.8,-87.66,755,casual
41.88,-87.76,1373,casual
41.77,-87.59,1120,member
41.74,-87.59,260,casual
41.84,-87.67,2184,casual
41.77,-87.66,448,casual
42.01,-87.68,1993,member
42.03,-87.69,282,member
41.81,-87.64,195,casual
41.89,-87.7,1045,casual
41.77,-87.6,173,member
41.84,-87.73,1009,casual
41.91,-87.8,260,casual
41.68,-87.68,76,member
41.7,-87.67,689,casual
41.78,-87.57,486,casual
41.88,-87.78,1,member
41.82,-87.63,918,casual
42.06,-87.73,97,casual
41.9,-87.77,433,casual
41.8,-87.73,331,casual
41.73,-87.62,69,member
42.06,-87.7,2577,member
41.82,-87.66,32,member
41.81,-87.75,151,casual
42.07,-87.71,19,member
42.06,-87.71,105,member
41.71,-87.57,315,casual
41.72,-87.65,252,member
41.98,-87.73,29,casual
41.75,-87.73,13,casual
42.02,-87.7,1121,member
42.0,-87.77,17,member
41.99,-87.75,23,member
41.75,-87.62,588,member
42.06,-87.72,809,casual
41.75,-87.64,213,member
41.71,-87.62,204,member
41.73,-87.6,100,member
41.71,-87.59,157,member
41.69,-87.66,235,casual
41.66,-87.55,93,member
41.68,-87.54,60,member
41.74,-87.7,36,casual
42.0,-87.81,24,casual
41.98,-87.77,45,casual
41.77,-87.79,40,casual
41.79,-87.8,10,member
41.7,-87.69,132,casual
41.65,-87.6,30,casual
41.71,-87.68,60,member
41.93,-87.82,12,casual
41.67,-87.66,60,casual
42.0,-87.79,21,casual
41.97,-87.8,2,casual
42.07,-87.7,77,casual
41.67,-87.63,18,member
41.76,-87.68,50,member
41.84,-87.76,1,casual
41.99,-87.8,17,casual
41.65,-87.62,67,casual
41.83,-87.71,29,member
41.89,-87.8,7,casual
41.65,-87.54,68,member
41.84,-87.74,17,member
41.66,-87.54,4,member
41.99,-87.72,18,member
41.98,-87.75,16,casual
41.76,-87.72,3,member
42.01,-87.72,14,casual
41.68,-87.61,4,casual
41.74,-87.72,5,member
41.71,-87.58,5,member
41.97,-87.81,10,casual
41.98,-87.82,3,member
41.68,-87.56,1,casual
42.0,-87.73,15,casual
41.76,-87.69,9,member
41.67,-87.54,3,member
41.96,-87.82,2,casual
41.77,-87.8,4,casual
41.69,-87.52,10,member
41.68,-87.74,4,casual
41.97,-87.82,1,member
41.69,-87.56,5,member
41.96,-87.81,2,member
41.64,-87.69,1,casual
41.97,-87.87,2,casual
41.7,-87.55,1,casual
41.76,-87.75,1,casual
42.04,-87.8,1,casual
41.89,-87.81,1,casual
41.67,-87.69,1,member
41.67,-87.61,1,casual
41.83,-87.75,1,casual
41.74,-87.7,1,member
41.79,-87.6,174748,member
41.95,-87.68,12713,casual
41.91,-87.63,242464,member
41.79,-87.59,38432,member
41.98,-87.66,36402,member
42.04,-87.68,2096,member
41.95,-87.68,19346,member
41.94,-87.67,59534,member
41.7,-87.64,306,casual
42.01,-87.69,5646,member
41.93,-87.77,1518,casual
41.95,-87.66,85331,member
41.92,-87.68,51737,member
41.7,-87.7,222,casual
41.93,-87.64,164665,casual
41.95,-87.65,171005,casual
41.95,-87.64,5986,casual
41.98,-87.69,2985,member
41.8,-87.58,22273,casual
41.9,-87.72,1634,casual
41.89,-87.72,2296,casual
41.81,-87.6,8961,member
41.96,-87.74,1889,casual
41.88,-87.65,181518,member
41.8,-87.61,3636,member
41.69,-87.7,347,casual
41.89,-87.66,38274,member
41.97,-87.67,77389,member
41.99,-87.71,1577,casual
41.98,-87.67,26791,casual
41.92,-87.65,88692,casual
41.99,-87.66,32469,member
41.7,-87.65,498,member
41.91,-87.68,63879,casual
41.91,-87.67,58597,casual
41.92,-87.74,2195,casual
41.76,-87.59,1132,member
41.84,-87.7,1026,member
41.92,-87.67,15018,casual
41.92,-87.66,26991,casual
41.82,-87.6,1312,casual
41.94,-87.78,381,member
41.88,-87.65,105633,casual
41.95,-87.71,11118,casual
41.99,-87.71,1270,member
42.0,-87.67,7622,casual
41.75,-87.67,156,casual
41.69,-87.64,771,casual
41.93,-87.68,16493,casual
41.76,-87.61,1241,casual
41.85,-87.71,1826,casual
41.91,-87.72,8054,member
41.7,-87.61,607,casual
41.9,-87.7,18661,casual
41.78,-87.71,618,casual
41.91,-87.71,19158,member
41.79,-87.72,627,casual
41.75,-87.62,1095,casual
41.86,-87.66,20128,casual
41.88,-87.69,5892,member
42.01,-87.69,3612,casual
41.95,-87.78,653,casual
41.76,-87.65,204,casual
41.95,-87.74,2616,casual
41.81,-87.68,1047,member
41.78,-87.6,3205,casual
41.94,-87.82,453,casual
41.81,-87.59,7256,casual
41.7,-87.68,735,casual
41.94,-87.81,206,member
41.96,-87.72,4500,member
41.79,-87.73,392,casual
41.69,-87.63,225,casual
41.94,-87.76,732,member
42.06,-87.67,974,member
41.91,-87.65,79202,casual
41.87,-87.64,22753,casual
41.95,-87.72,6771,member
41.89,-87.73,456,member
41.86,-87.64,4047,casual
42.03,-87.67,135,casual
42.0,-87.69,3755,member
41.86,-87.62,41789,casual
41.99,-87.67,10483,member
41.77,-87.68,63,member
41.83,-87.66,1628,casual
41.69,-87.53,589,casual
41.88,-87.67,10483,casual
42.01,-87.66,5660,member
41.92,-87.75,2142,member
41.76,-87.57,1834,member
41.71,-87.67,430,member
41.67,-87.64,514,member
42.03,-87.68,9387,member
41.93,-87.82,4,member
41.87,-87.72,366,casual
41.95,-87.75,2624,member
41.74,-87.55,1307,casual
41.96,-87.75,2786,member
41.69,-87.65,532,member
41.85,-87.62,18281,member
42.0,-87.71,623,member
42.02,-87.71,540,casual
41.97,-87.68,11200,casual
41.82,-87.59,190,member
42.0,-87.68,2131,casual
41.8,-87.61,3133,casual
41.83,-87.62,22415,member
41.84,-87.63,1699,casual
41.99,-87.68,1658,casual
41.88,-87.61,1044,casual
41.84,-87.72,913,member
41.73,-87.66,552,casual
41.79,-87.62,2907,member
41.68,-87.54,340,casual
41.83,-87.73,269,member
41.82,-87.68,1276,casual
41.78,-87.66,379,member
41.75,-87.65,179,member
41.75,-87.6,653,member
42.06,-87.67,705,casual
41.74,-87.66,421,member
41.9,-87.61,100,casual
41.85,-87.64,1748,casual
41.99,-87.73,36,casual
41.85,-87.66,3990,casual
41.71,-87.72,52,member
41.89,-87.77,1545,member
41.71,-87.69,38,member
41.74,-87.58,791,casual
41.89,-87.73,751,casual
41.71,-87.54,37,member
41.99,-87.69,4139,member
42.03,-87.71,303,casual
41.77,-87.64,644,member
42.02,-87.66,558,casual
41.77,-87.68,150,casual
41.81,-87.74,72,casual
41.8,-87.65,429,casual
41.77,-87.56,193,casual
41.89,-87.72,1734,member
41.71,-87.55,161,casual
41.81,-87.7,440,member
41.94,-87.76,1191,casual
41.76,-87.64,193,member
42.02,-87.66,960,member
41.85,-87.61,394,member
41.78,-87.67,175,casual
41.77,-87.7,96,member
41.78,-87.63,661,member
41.7,-87.69,54,member
41.72,-87.54,141,casual
41.75,-87.55,642,casual
41.69,-87.6,43,member
41.81,-87.72,412,member
41.72,-87.57,77,casual
41.92,-87.79,445,member
41.79,-87.67,196,member
41.74,-87.62,555,member
41.71,-87.55,91,member
41.78,-87.68,209,member
41.84,-87.6,41,member
41.73,-87.57,139,member
41.97,-87.85,15,casual
41.7,-87.63,131,casual
41.73,-87.59,181,member
41.7,-87.59,19,member
41.73,-87.63,392,casual
41.79,-87.71,248,member
41.77,-87.71,68,casual
42.08,-87.71,1,casual
41.99,-87.73,52,member
42.04,-87.7,1625,casual
41.81,-87.71,270,casual
41.69,-87.57,577,casual
42.01,-87.82,1,member
41.83,-87.72,91,member
41.79,-87.68,159,member
41.91,-87.8,99,member
41.68,-87.67,371,casual
41.68,-87.65,225,member
41.65,-87.55,103,member
41.79,-87.77,37,casual
41.79,-87.79,18,casual
41.75,-87.7,38,casual
41.66,-87.64,37,casual
41.82,-87.71,36,casual
41.76,-87.67,37,member
42.07,-87.72,21,casual
41.98,-87.81,28,casual
41.73,-87.54,37,casual
41.97,-87.78,72,casual
41.74,-87.54,45,casual
41.91,-87.79,89,member
41.67,-87.57,7,casual
41.98,-87.74,16,member
41.8,-87.75,132,member
41.69,-87.54,214,casual
42.07,-87.71,8,casual
41.95,-87.8,33,member
41.67,-87.67,3,casual
41.8,-87.79,14,casual
42.0,-87.72,42,casual
41.74,-87.73,4,member
41.67,-87.68,4,member
41.71,-87.7,9,member
42.0,-87.82,39,member
42.0,-87.79,21,member
41.67,-87.65,11,member
41.99,-87.77,5,member
41.97,-87.84,9,member
41.79,-87.76,19,casual
41.76,-87.7,3,member
41.99,-87.84,2,member
41.66,-87.65,3,member
41.79,-87.75,2,member
42.01,-87.82,10,casual
41.98,-87.8,7,casual
41.98,-87.8,2,member
41.68,-87.71,5,member
42.02,-87.72,2,casual
41.99,-87.84,2,casual
41.76,-87.79,1,casual
42.01,-87.76,5,member
41.65,-87.71,1,member
41.86,-87.76,1,member
41.66,-87.53,3,casual
41.85,-87.75,1,casual
41.75,-87.7,2,member
41.66,-87.67,2,casual
41.66,-87.68,1,casual
41.68,-87.57,1,member
41.67,-87.55,1,casual
42.01,-87.8,1,casual
41.79,-87.57,1,member
41.9,-87.67,79251,casual
41.74,-87.65,341,member
41.96,-87.68,44328,member
41.92,-87.64,139953,casual
41.91,-87.69,22355,member
41.91,-87.7,15501,member
41.94,-87.68,35183,member
41.87,-87.7,488,member
41.88,-87.63,187549,casual
41.89,-87.65,75779,casual
41.74,-87.68,264,casual
41.93,-87.7,21078,member
41.92,-87.64,163415,member
41.86,-87.65,48660,member
41.8,-87.6,43995,member
41.72,-87.6,597,casual
42.02,-87.67,18626,member
41.94,-87.65,228862,member
41.91,-87.73,1614,casual
41.88,-87.66,75688,member
41.95,-87.76,1198,member
41.73,-87.59,379,casual
41.91,-87.69,18165,casual
41.9,-87.71,8782,member
41.92,-87.66,43886,member
41.84,-87.72,1943,casual
41.97,-87.73,931,member
41.74,-87.6,1777,casual
41.92,-87.7,44330,casual
41.87,-87.63,123862,casual
41.95,-87.71,14569,member
41.81,-87.66,1144,member
41.93,-87.79,2787,casual
41.93,-87.76,1613,casual
41.94,-87.64,143791,member
41.98,-87.67,43107,member
41.93,-87.78,1663,casual
41.87,-87.68,6878,member
41.72,-87.6,510,member
41.96,-87.67,21780,casual
41.76,-87.68,217,casual
41.9,-87.76,504,casual
41.93,-87.65,135641,casual
41.87,-87.65,25755,casual
41.89,-87.68,11993,casual
41.78,-87.73,545,casual
41.85,-87.7,4854,member
42.03,-87.67,282,member
41.81,-87.6,7459,casual
41.95,-87.76,1754,casual
41.77,-87.58,2206,member
41.91,-87.64,57059,casual
41.85,-87.72,2882,casual
41.91,-87.74,492,member
41.94,-87.71,6824,casual
41.81,-87.66,902,casual
41.74,-87.56,340,casual
41.76,-87.6,211,member
41.94,-87.72,10182,member
41.82,-87.67,880,member
41.87,-87.74,327,member
41.68,-87.66,195,casual
41.92,-87.71,26056,member
41.7,-87.6,623,casual
41.98,-87.66,20489,casual
41.85,-87.64,3729,member
41.92,-87.78,857,casual
41.95,-87.7,7245,member
41.86,-87.64,6895,member
41.77,-87.69,306,casual
41.77,-87.65,1187,member
41.93,-87.72,8431,casual
41.81,-87.61,3493,member
41.85,-87.7,3481,casual
41.95,-87.65,250993,member
41.85,-87.62,21267,casual
41.94,-87.72,10146,casual
41.91,-87.75,1340,casual
41.95,-87.74,2928,member
41.87,-87.61,34190,casual
41.99,-87.65,1370,casual
41.88,-87.73,956,casual
41.73,-87.58,63,member
41.91,-87.64,77546,member
42.04,-87.67,190,casual
41.85,-87.66,5121,member
41.8,-87.67,160,member
41.8,-87.76,81,casual
41.85,-87.67,633,casual
41.7,-87.68,242,member
41.81,-87.61,3288,casual
41.85,-87.65,5722,casual
41.9,-87.65,17962,casual
41.79,-87.66,710,member
41.7,-87.53,598,casual
41.95,-87.75,2866,casual
41.96,-87.63,1272,member
41.82,-87.61,5766,casual
41.84,-87.61,25788,member
41.87,-87.7,877,casual
41.86,-87.62,60835,member
41.81,-87.63,1175,casual
41.79,-87.58,8307,member
41.98,-87.71,5150,member
42.02,-87.69,2407,member
41.74,-87.63,634,member
41.98,-87.7,5592,casual
41.97,-87.73,807,casual
41.7,-87.53,169,member
42.07,-87.7,98,member
41.96,-87.76,258,member
41.92,-87.76,1780,member
41.76,-87.62,415,casual
41.83,-87.6,430,casual
41.99,-87.78,8,member
41.89,-87.67,28506,member
41.95,-87.79,593,member
41.74,-87.65,359,casual
41.82,-87.65,391,member
41.74,-87.61,548,casual
41.82,-87.64,998,member
42.01,-87.67,21995,member
42.02,-87.68,4889,member
41.98,-87.72,1590,casual
41.88,-87.71,1883,member
42.05,-87.69,494,casual
41.91,-87.81,141,member
41.82,-87.73,112,member
41.9,-87.76,199,member
41.73,-87.56,202,member
41.86,-87.63,27786,member
41.81,-87.64,192,member
41.89,-87.76,1777,casual
41.86,-87.71,222,member
41.69,-87.63,75,member
41.77,-87.59,2970,casual
41.83,-87.69,119,member
41.76,-87.63,331,casual
41.95,-87.82,85,casual
41.71,-87.53,821,casual
41.73,-87.55,752,casual
41.77,-87.61,1602,casual
42.0,-87.7,1354,casual
41.74,-87.68,215,member
41.77,-87.72,73,member
41.81,-87.68,1865,casual
41.78,-87.58,4668,casual
41.89,-87.71,598,member
41.87,-87.75,431,casual
42.06,-87.69,4170,casual
41.7,-87.72,26,casual
41.66,-87.6,326,casual
41.77,-87.62,859,casual
41.97,-87.75,206,casual
41.83,-87.72,149,casual
41.75,-87.66,213,member
42.03,-87.71,241,member
41.95,-87.77,794,casual
41.78,-87.68,287,casual
41.69,-87.57,163,member
42.05,-87.7,1768,member
41.85,-87.72,1488,member
41.88,-87.77,702,member
41.75,-87.56,334,casual
41.77,-87.67,65,casual
41.91,-87.77,133,member
41.75,-87.72,19,casual
41.69,-87.62,498,casual
41.76,-87.63,200,member
41.73,-87.66,160,member
41.78,-87.7,351,member
41.97,-87.77,46,casual
41.87,-87.77,122,member
41.74,-87.64,277,casual
41.79,-87.65,704,member
41.95,-87.8,160,casual
41.78,-87.64,512,member
41.9,-87.73,421,member
42.05,-87.67,5308,member
41.69,-87.68,844,casual
41.73,-87.61,430,casual
41.84,-87.69,993,member
41.79,-87.61,1732,casual
41.7,-87.63,266,member
41.82,-87.59,124,casual
41.84,-87.6,63,casual
41.76,-87.65,123,member
41.94,-87.8,128,member
41.7,-87.56,65,member
41.8,-87.7,786,member
42.07,-87.69,60,member
41.8,-87.72,833,member
41.83,-87.7,37,member
41.84,-87.69,508,casual
41.8,-87.69,302,member
41.8,-87.75,340,casual
42.06,-87.72,1376,member
41.97,-87.63,34,member
41.77,-87.63,440,member
41.96,-87.77,51,member
41.67,-87.62,38,member
41.75,-87.64,387,casual
41.79,-87.78,46,casual
41.74,-87.54,22,member
41.95,-87.78,231,member
41.79,-87.64,385,casual
41.82,-87.67,558,casual
41.69,-87.69,69,member
41.81,-87.71,285,member
41.67,-87.56,170,casual
41.72,-87.56,208,casual
41.85,-87.73,126,member
41.97,-87.81,34,member
41.99,-87.74,71,member
41.8,-87.76,54,member
41.9,-87.6,20,member
41.65,-87.53,17,casual
41.65,-87.62,48,member
41.82,-87.73,25,casual
41.71,-87.56,38,member
41.72,-87.59,52,casual
41.78,-87.74,34,member
41.68,-87.72,14,casual
41.8,-87.73,110,member
42.07,-87.73,14,casual
41.76,-87.71,6,casual
41.96,-87.79,32,member
41.66,-87.54,16,casual
41.98,-87.78,25,casual
41.69,-87.62,101,member
41.71,-87.66,64,member
41.68,-87.67,147,member
42.01,-87.78,18,casual
41.81,-87.58,59,member
41.89,-87.78,24,member
41.96,-87.79,21,casual
41.98,-87.85,3,member
41.78,-87.75,9,casual
41.76,-87.72,11,casual
42.0,-87.72,29,member
41.86,-87.74,11,member
41.72,-87.55,18,member
41.64,-87.54,4,casual
41.78,-87.78,13,member
41.94,-87.84,6,member
41.64,-87.54,2,member
41.69,-87.72,6,member
41.65,-87.59,5,casual
41.9,-87.78,31,member
41.74,-87.71,1,member
41.86,-87.75,4,casual
41.68,-87.71,17,casual
41.96,-87.8,1,member
41.8,-87.64,20,casual
41.82,-87.74,2,casual
41.98,-87.77,16,member
41.96,-87.78,7,member
42.01,-87.72,7,member
41.65,-87.61,8,casual
42.08,-87.68,1,member
41.7,-87.7,16,member
41.75,-87.74,4,member
41.78,-87.79,4,member
41.82,-87.75,1,casual
41.85,-87.78,2,casual
41.99,-87.81,2,member
41.88,-87.84,1,casual
41.67,-87.53,2,member
41.68,-87.53,5,casual
41.85,-87.75,1,member
41.73,-87.53,1,member
41.8,-87.77,3,casual
41.68,-87.69,2,casual
41.67,-87.68,1,casual
41.98,-87.75,5,member
41.7,-87.71,4,member
45.64,-73.8,1,casual
41.96,-87.92,1,casual
41.72,-87.71,1,casual
41.68,-87.52,1,casual
41.75,-87.72,1,member
41.97,-87.82,1,casual
41.83,-87.77,1,casual
41.94,-87.68,29040,casual
41.87,-87.63,163600,member
41.83,-87.64,2363,casual
41.78,-87.6,10296,member
41.96,-87.64,40965,casual
41.91,-87.67,82391,member
