duration,frequency,member_type
127,210,member
127,2602,casual
128,2629,casual
128,193,member
129,196,member
129,2570,casual
130,2313,casual
130,210,member
131,220,member
131,2449,casual
132,186,member
132,2295,casual
133,197,member
133,2349,casual
134,2143,casual
134,181,member
135,180,member
135,2080,casual
136,2059,casual
136,188,member
137,175,member
137,2077,casual
138,206,member
138,2026,casual
139,177,member
139,1930,casual
140,154,member
140,1934,casual
141,1894,casual
141,163,member
142,1911,casual
142,145,member
143,1815,casual
143,156,member
144,135,member
144,1783,casual
145,144,member
145,1731,casual
146,119,member
146,1751,casual
147,1762,casual
147,134,member
148,1650,casual
148,130,member
149,1641,casual
149,118,member
150,1605,casual
150,126,member
151,1537,casual
151,129,member
152,128,member
152,1560,casual
153,1457,casual
153,126,member
154,1447,casual
154,106,member
155,128,member
155,1486,casual
156,1477,casual
156,121,member
157,1385,casual
157,115,member
158,1410,casual
158,127,member
159,1379,casual
159,127,member
160,1281,casual
160,98,member
161,1292,casual
161,107,member
162,1238,casual
162,87,member
163,1278,casual
163,110,member
164,1237,casual
164,90,member
165,90,member
165,1196,casual
166,1225,casual
166,102,member
167,92,member
167,1187,casual
168,1123,casual
168,100,member
169,87,member
169,1043,casual
170,1040,casual
170,103,member
171,1044,casual
171,88,member
172,99,member
172,1001,casual
173,1015,casual
173,86,member
174,940,casual
174,76,member
175,888,casual
175,83,member
176,81,member
176,920,casual
177,894,casual
177,65,member
178,850,casual
178,87,member
179,84,member
179,833,casual
180,768,casual
180,78,member
181,91,member
181,800,casual
182,100,member
182,831,casual
183,803,casual
183,95,member
184,125,member
184,785,casual
185,769,casual
185,101,member
186,659,casual
186,105,member
187,681,casual
187,89,member
188,622,casual
188,112,member
189,91,member
189,618,casual
190,101,member
190,600,casual
191,88,member
191,583,casual
192,575,casual
192,102,member
193,507,casual
193,108,member
194,78,member
194,521,casual
195,544,casual
195,88,member
196,510,casual
196,78,member
197,531,casual
197,84,member
198,78,member
198,472,casual
199,478,casual
199,66,member
200,87,member
200,493,casual
201,437,casual
201,76,member
202,472,casual
202,70,member
203,71,member
203,373,casual
204,422,casual
204,72,member
205,57,member
205,442,casual
206,409,casual
206,76,member
207,59,member
207,407,casual
208,399,casual
208,63,member
209,56,member
209,343,casual
210,381,casual
210,56,member
211,347,casual
211,66,member
212,373,casual
212,53,member
213,346,casual
213,67,member
214,326,casual
214,56,member
215,62,member
215,319,casual
216,325,casual
216,46,member
217,58,member
217,307,casual
218,317,casual
218,42,member
219,306,casual
219,43,member
220,274,casual
220,56,member
221,280,casual
221,58,member
222,283,casual
222,45,member
223,313,casual
223,50,member
224,260,casual
224,61,member
225,277,casual
225,52,member
226,45,member
226,248,casual
227,273,casual
227,40,member
228,259,casual
228,37,member
229,35,member
229,251,casual
230,34,member
230,261,casual
231,256,casual
231,40,member
232,43,member
232,219,casual
233,36,member
233,237,casual
234,223,casual
234,50,member
235,210,casual
235,40,member
236,228,casual
236,44,member
237,238,casual
237,57,member
238,219,casual
238,42,member
239,200,casual
239,39,member
240,196,casual
240,34,member
241,36,member
241,207,casual
242,229,casual
242,35,member
243,196,casual
243,44,member
244,31,member
244,193,casual
245,209,casual
245,34,member
246,204,casual
246,34,member
247,216,casual
247,33,member
248,25,member
248,169,casual
249,167,casual
249,45,member
250,177,casual
250,34,member
251,30,member
251,171,casual
252,28,member
252,165,casual
253,30,member
253,144,casual
254,154,casual
254,40,member
255,177,casual
255,29,member
256,39,member
256,163,casual
257,28,member
257,153,casual
258,29,member
258,149,casual
259,149,casual
259,33,member
260,119,casual
260,20,member
261,143,casual
261,24,member
262,142,casual
262,38,member
263,25,member
263,158,casual
264,154,casual
264,22,member
265,26,member
265,136,casual
266,26,member
266,146,casual
267,31,member
267,152,casual
268,24,member
268,127,casual
269,29,member
269,160,casual
270,31,member
270,123,casual
271,129,casual
271,25,member
272,133,casual
272,23,member
273,21,member
273,149,casual
274,29,member
274,135,casual
275,128,casual
275,24,member
276,12,member
276,113,casual
277,26,member
277,112,casual
278,121,casual
278,21,member
279,114,casual
279,27,member
280,125,casual
280,17,member
281,94,casual
281,28,member
282,111,casual
282,28,member
283,108,casual
283,16,member
284,21,member
284,92,casual
285,124,casual
285,29,member
286,111,casual
286,21,member
287,23,member
287,96,casual
288,92,casual
288,20,member
289,113,casual
289,25,member
290,106,casual
290,21,member
291,90,casual
291,25,member
292,26,member
292,90,casual
293,94,casual
293,25,member
294,20,member
294,101,casual
295,20,member
295,95,casual
296,92,casual
296,25,member
297,98,casual
297,20,member
298,19,member
298,105,casual
299,81,casual
299,22,member
300,17,member
300,86,casual
301,21,member
301,86,casual
302,82,casual
302,29,member
303,86,casual
303,18,member
304,23,member
304,84,casual
305,23,member
305,94,casual
306,23,member
306,77,casual
307,22,member
307,88,casual
308,21,member
308,89,casual
309,70,casual
309,19,member
310,87,casual
310,21,member
311,22,member
311,92,casual
312,17,member
312,77,casual
313,75,casual
313,12,member
314,15,member
314,84,casual
315,17,member
315,66,casual
316,75,casual
316,17,member
317,20,member
317,67,casual
318,84,casual
318,18,member
319,73,casual
319,17,member
320,20,member
320,68,casual
321,13,member
321,77,casual
322,72,casual
322,14,member
323,20,member
323,60,casual
324,9,member
324,71,casual
325,14,member
325,71,casual
326,62,casual
326,16,member
327,59,casual
327,20,member
328,64,casual
328,14,member
329,16,member
329,54,casual
330,51,casual
330,11,member
331,59,casual
331,12,member
332,56,casual
332,28,member
333,61,casual
333,10,member
334,13,member
334,61,casual
335,15,member
335,59,casual
336,63,casual
336,16,member
337,56,casual
337,16,member
338,8,member
338,56,casual
339,62,casual
339,16,member
340,16,member
340,60,casual
341,75,casual
341,9,member
342,51,casual
342,10,member
343,45,casual
343,11,member
344,47,casual
344,22,member
345,16,member
345,54,casual
346,8,member
346,47,casual
347,14,member
347,57,casual
348,18,member
348,50,casual
349,12,member
349,54,casual
350,47,casual
350,6,member
351,10,member
351,29,casual
352,44,casual
352,13,member
353,12,member
353,50,casual
354,43,casual
354,10,member
355,8,member
355,51,casual
356,13,member
356,46,casual
357,14,member
357,35,casual
358,55,casual
358,16,member
359,48,casual
359,10,member
360,14,member
360,46,casual
361,11,member
361,42,casual
362,55,casual
362,11,member
363,10,member
363,54,casual
364,48,casual
364,21,member
365,5,member
365,44,casual
366,45,casual
366,15,member
367,50,casual
367,8,member
368,56,casual
368,18,member
369,8,member
369,53,casual
370,9,member
370,52,casual
371,14,member
371,50,casual
372,32,casual
372,14,member
373,47,casual
373,9,member
374,13,member
374,46,casual
375,41,casual
375,10,member
376,49,casual
376,9,member
377,43,casual
377,16,member
378,52,casual
378,8,member
379,58,casual
379,6,member
380,32,casual
380,12,member
381,39,casual
381,10,member
382,15,member
382,38,casual
383,6,member
383,48,casual
384,37,casual
384,10,member
385,6,member
385,35,casual
386,34,casual
386,7,member
387,14,member
387,42,casual
388,9,member
388,35,casual
389,9,member
389,25,casual
390,9,member
390,38,casual
391,11,member
391,43,casual
392,14,member
392,45,casual
393,38,casual
393,18,member
394,6,member
394,40,casual
395,39,casual
395,11,member
396,24,casual
396,12,member
397,28,casual
397,10,member
398,13,member
398,40,casual
399,44,casual
399,10,member
400,34,casual
400,4,member
401,39,casual
401,7,member
402,28,casual
402,15,member
403,36,casual
403,10,member
404,47,casual
404,7,member
405,8,member
405,30,casual
406,38,casual
406,4,member
407,28,casual
407,11,member
408,36,casual
408,7,member
409,35,casual
409,7,member
410,38,casual
410,6,member
411,11,member
411,34,casual
412,8,member
412,35,casual
413,7,member
413,38,casual
414,33,casual
414,8,member
415,9,member
415,30,casual
416,4,member
416,35,casual
417,10,member
417,25,casual
418,24,casual
418,8,member
419,8,member
419,37,casual
420,12,member
420,30,casual
421,27,casual
421,9,member
422,26,casual
422,12,member
423,12,member
423,36,casual
424,12,member
424,33,casual
425,9,member
425,27,casual
426,9,member
426,30,casual
427,24,casual
427,7,member
428,13,member
428,25,casual
429,22,casual
429,9,member
430,34,casual
430,12,member
431,36,casual
431,10,member
432,4,member
432,27,casual
433,11,member
433,31,casual
434,29,casual
434,5,member
435,25,casual
435,5,member
436,7,member
436,28,casual
437,8,member
437,21,casual
438,12,member
438,21,casual
439,34,casual
439,7,member
440,18,casual
440,6,member
441,6,member
441,33,casual
442,39,casual
442,8,member
443,34,casual
443,7,member
444,7,member
444,26,casual
445,7,member
445,18,casual
446,23,casual
446,8,member
447,24,casual
447,5,member
448,6,member
448,30,casual
449,23,casual
449,7,member
450,36,casual
450,7,member
451,30,casual
451,13,member
452,12,member
452,25,casual
453,6,member
453,25,casual
454,23,casual
454,11,member
455,10,member
455,23,casual
456,5,member
456,34,casual
457,31,casual
457,7,member
458,11,member
458,32,casual
459,23,casual
459,13,member
460,10,member
460,23,casual
461,25,casual
461,10,member
462,26,casual
462,3,member
463,18,casual
463,7,member
464,9,member
464,16,casual
465,5,member
465,27,casual
466,4,member
466,25,casual
467,6,member
467,26,casual
468,23,casual
468,9,member
469,11,member
469,21,casual
470,14,member
470,25,casual
471,20,member
471,32,casual
472,26,member
472,24,casual
473,19,member
473,32,casual
474,16,member
474,28,casual
475,41,casual
475,21,member
476,17,member
476,22,casual
477,20,member
477,44,casual
478,30,member
478,32,casual
479,418,casual
479,324,member
480,58,member
480,97,casual
481,21,casual
481,8,member
482,28,casual
482,2,member
483,5,member
483,22,casual
484,4,member
484,25,casual
485,33,casual
485,5,member
486,3,member
486,19,casual
487,24,casual
487,7,member
488,8,member
488,31,casual
489,25,casual
489,4,member
490,28,casual
490,2,member
491,2,member
491,17,casual
492,6,member
492,19,casual
493,5,member
493,18,casual
494,2,member
494,23,casual
495,25,casual
495,6,member
496,16,casual
496,4,member
497,20,casual
497,3,member
498,23,casual
498,3,member
499,17,casual
499,2,member
500,20,casual
500,4,member
501,25,casual
501,2,member
502,16,casual
502,8,member
503,13,casual
503,3,member
504,20,casual
504,4,member
505,1,member
505,25,casual
506,2,member
506,22,casual
507,13,casual
507,2,member
508,4,member
508,20,casual
509,4,member
509,11,casual
510,6,member
510,10,casual
511,4,member
511,25,casual
512,4,member
512,19,casual
513,4,member
513,21,casual
514,25,casual
514,4,member
515,21,casual
515,4,member
516,19,casual
516,6,member
517,21,casual
517,7,member
518,2,member
518,18,casual
519,25,casual
519,4,member
520,28,casual
520,8,member
521,14,casual
521,3,member
522,17,casual
522,6,member
523,13,casual
523,2,member
524,22,casual
524,3,member
525,16,casual
525,6,member
526,22,casual
526,4,member
527,25,casual
527,4,member
528,4,member
528,13,casual
529,22,casual
529,4,member
530,22,casual
530,2,member
531,18,casual
531,4,member
532,20,casual
532,6,member
533,16,casual
533,5,member
534,8,member
534,19,casual
535,20,casual
535,6,member
536,5,member
536,20,casual
537,23,casual
537,4,member
538,22,casual
538,4,member
539,25,casual
539,4,member
540,17,casual
540,5,member
541,15,casual
541,2,member
542,19,casual
542,5,member
543,29,casual
543,6,member
544,2,member
544,23,casual
545,5,member
545,14,casual
546,16,casual
546,4,member
547,11,casual
547,7,member
548,2,member
548,21,casual
549,21,casual
549,7,member
550,17,casual
550,2,member
551,20,casual
551,4,member
552,2,member
552,27,casual
553,5,member
553,17,casual
554,3,member
554,23,casual
555,4,member
555,13,casual
556,22,casual
556,5,member
557,3,member
557,14,casual
558,21,casual
558,4,member
559,7,member
559,21,casual
560,24,casual
560,5,member
561,4,member
561,23,casual
562,7,member
562,19,casual
563,16,casual
563,4,member
564,11,casual
564,5,member
565,24,casual
565,3,member
566,22,casual
566,5,member
567,16,casual
567,4,member
568,2,member
568,26,casual
569,9,member
569,17,casual
570,26,casual
570,1,member
571,3,member
571,21,casual
572,14,casual
572,2,member
573,6,member
573,24,casual
574,19,casual
574,6,member
575,4,member
575,30,casual
576,11,casual
576,5,member
577,24,casual
577,7,member
578,20,casual
578,5,member
579,15,casual
579,4,member
580,3,member
580,15,casual
581,3,member
581,15,casual
582,2,member
582,24,casual
583,4,member
583,19,casual
584,23,casual
584,2,member
585,13,casual
585,6,member
586,24,casual
586,3,member
587,17,casual
587,3,member
588,5,member
588,20,casual
589,19,casual
589,5,member
590,3,member
590,15,casual
591,22,casual
591,4,member
592,1,member
592,17,casual
593,1,member
593,17,casual
594,18,casual
594,5,member
595,2,member
595,19,casual
596,2,member
596,13,casual
597,29,casual
597,4,member
598,21,casual
598,5,member
599,19,casual
599,3,member
600,17,casual
600,3,member
601,21,casual
601,2,member
602,20,casual
602,3,member
603,3,member
603,22,casual
604,14,casual
604,5,member
605,7,member
605,29,casual
606,15,casual
606,3,member
607,5,member
607,25,casual
608,3,member
608,11,casual
609,18,casual
609,5,member
610,22,casual
610,6,member
611,18,casual
611,6,member
612,4,member
612,24,casual
613,17,casual
613,4,member
614,15,casual
614,5,member
615,16,casual
615,4,member
616,15,casual
616,4,member
617,10,casual
617,1,member
618,11,casual
618,4,member
619,14,casual
619,6,member
620,2,member
620,19,casual
621,7,member
621,13,casual
622,19,casual
622,6,member
623,2,member
623,12,casual
624,14,casual
624,4,member
625,19,casual
625,5,member
626,24,casual
626,4,member
627,17,casual
627,3,member
628,4,member
628,15,casual
629,16,casual
629,2,member
630,5,member
630,10,casual
631,18,casual
631,2,member
632,17,casual
632,2,member
633,19,casual
633,3,member
634,10,casual
634,5,member
635,19,casual
635,2,member
636,11,casual
636,2,member
637,18,casual
637,3,member
638,3,member
638,15,casual
639,3,member
639,16,casual
640,1,member
640,19,casual
641,10,casual
641,3,member
642,1,member
642,25,casual
643,16,casual
643,2,member
644,2,member
644,18,casual
645,2,member
645,23,casual
646,2,member
646,7,casual
647,19,casual
648,16,casual
648,3,member
649,2,member
649,24,casual
650,22,casual
650,4,member
651,12,casual
651,6,member
652,20,casual
652,2,member
653,13,casual
653,1,member
654,10,casual
654,2,member
655,15,casual
655,3,member
656,3,member
656,23,casual
657,8,member
657,14,casual
658,15,casual
658,1,member
659,15,casual
659,3,member
660,5,member
660,24,casual
661,9,casual
661,2,member
662,4,member
662,19,casual
663,28,casual
663,1,member
664,13,casual
664,1,member
665,17,casual
665,6,member
666,4,member
666,18,casual
667,5,member
667,12,casual
668,3,member
668,20,casual
669,16,casual
669,4,member
670,17,casual
670,4,member
671,12,casual
671,2,member
672,1,member
672,22,casual
673,12,casual
673,5,member
674,14,casual
674,3,member
675,4,member
675,19,casual
676,13,casual
676,4,member
677,17,casual
677,6,member
678,7,member
678,8,casual
679,4,member
679,16,casual
680,5,member
680,17,casual
681,14,casual
681,2,member
682,21,casual
682,1,member
683,2,member
683,20,casual
684,18,casual
684,4,member
685,12,casual
685,2,member
686,3,member
686,16,casual
687,16,casual
687,3,member
688,5,member
688,17,casual
689,2,member
689,13,casual
690,16,casual
690,8,member
691,18,casual
691,5,member
692,5,member
692,17,casual
693,23,casual
693,1,member
694,12,casual
694,8,member
695,15,casual
695,6,member
696,4,member
696,17,casual
697,14,casual
697,5,member
698,16,casual
698,1,member
699,13,casual
699,4,member
700,15,casual
700,7,member
701,12,casual
701,2,member
702,22,casual
702,5,member
703,11,casual
703,4,member
704,20,casual
704,4,member
705,11,casual
705,6,member
706,19,casual
706,2,member
707,14,casual
707,3,member
708,9,casual
708,1,member
709,13,casual
709,5,member
710,4,member
710,18,casual
711,5,member
711,23,casual
712,3,member
712,12,casual
713,14,casual
713,5,member
714,11,casual
714,3,member
715,12,casual
715,1,member
716,3,member
716,17,casual
717,2,member
717,14,casual
718,11,casual
718,3,member
719,11,casual
719,2,member
720,5,member
720,20,casual
721,14,casual
721,5,member
722,15,casual
722,1,member
723,14,casual
723,10,member
724,2,member
724,9,casual
725,15,casual
725,2,member
726,9,casual
726,6,member
727,17,casual
727,3,member
728,2,member
728,13,casual
729,22,casual
729,2,member
730,11,casual
730,6,member
731,16,casual
731,1,member
732,2,member
732,13,casual
733,16,casual
733,3,member
734,14,casual
734,3,member
735,16,casual
735,7,member
736,5,member
736,26,casual
737,11,casual
737,3,member
738,4,member
738,20,casual
739,4,member
739,14,casual
740,21,casual
740,7,member
741,3,member
741,14,casual
742,13,casual
742,3,member
743,16,casual
743,3,member
744,23,casual
744,1,member
745,1,member
745,17,casual
746,5,member
746,18,casual
747,18,casual
747,6,member
748,19,casual
748,3,member
749,16,casual
749,4,member
750,6,member
750,19,casual
751,3,member
751,10,casual
752,3,member
752,15,casual
753,1,member
753,12,casual
754,18,casual
754,4,member
755,20,casual
755,6,member
756,5,member
756,25,casual
757,17,casual
757,3,member
758,16,casual
759,9,member
759,15,casual
760,2,member
760,8,casual
761,3,member
761,10,casual
762,2,member
762,10,casual
763,5,member
763,19,casual
764,19,casual
764,3,member
765,12,casual
765,3,member
766,12,casual
766,2,member
767,8,member
767,20,casual
768,4,member
768,16,casual
769,5,member
769,14,casual
770,9,casual
771,17,casual
771,2,member
772,13,casual
772,5,member
773,6,member
773,16,casual
774,14,casual
774,3,member
775,14,casual
775,1,member
776,11,casual
776,1,member
777,1,member
777,11,casual
778,3,member
778,21,casual
779,15,casual
779,6,member
780,12,casual
780,3,member
781,23,casual
782,9,member
782,9,casual
783,20,casual
783,8,member
784,13,casual
784,4,member
785,13,casual
785,7,member
786,4,member
786,15,casual
787,13,casual
787,3,member
788,19,casual
788,5,member
789,15,casual
789,1,member
790,5,member
790,14,casual
791,4,member
791,17,casual
792,3,member
792,18,casual
793,5,casual
793,2,member
794,17,casual
794,5,member
795,2,member
795,12,casual
796,12,casual
796,1,member
797,5,member
797,18,casual
798,5,member
798,14,casual
799,5,member
799,13,casual
800,3,member
800,11,casual
801,19,casual
801,2,member
802,2,member
802,11,casual
803,3,member
803,15,casual
804,3,member
804,20,casual
805,17,casual
805,4,member
806,11,casual
806,5,member
807,14,casual
807,1,member
808,21,casual
809,3,member
809,9,casual
810,4,member
810,16,casual
811,2,member
811,15,casual
812,15,casual
812,6,member
813,6,member
813,16,casual
814,1,member
814,13,casual
815,22,casual
815,2,member
816,3,member
816,20,casual
817,14,casual
817,2,member
818,12,casual
818,3,member
819,10,casual
819,3,member
820,3,member
820,18,casual
821,5,member
821,13,casual
822,9,casual
823,17,casual
823,5,member
824,14,casual
824,2,member
825,13,casual
825,2,member
826,7,casual
826,4,member
827,8,member
827,9,casual
828,20,casual
828,2,member
829,1,member
829,12,casual
830,4,member
830,10,casual
831,21,casual
831,2,member
832,7,casual
832,2,member
833,7,member
833,9,casual
834,7,member
834,12,casual
835,11,casual
835,5,member
836,10,casual
836,1,member
837,2,member
837,17,casual
838,1,member
838,18,casual
839,5,member
839,11,casual
840,12,casual
840,2,member
841,4,member
841,15,casual
842,11,casual
842,2,member
843,19,casual
843,3,member
844,15,casual
844,3,member
845,14,casual
845,3,member
846,2,member
846,13,casual
847,10,casual
847,4,member
848,17,casual
848,1,member
849,7,member
849,17,casual
850,4,member
850,17,casual
851,4,member
851,8,casual
852,7,casual
852,5,member
853,4,member
853,12,casual
854,3,member
854,14,casual
855,2,member
855,11,casual
856,11,casual
856,6,member
857,10,casual
857,4,member
858,11,casual
858,4,member
859,19,casual
859,3,member
860,17,casual
860,1,member
861,16,casual
861,2,member
862,3,member
862,15,casual
863,2,member
863,18,casual
864,13,casual
864,4,member
865,14,casual
865,3,member
866,11,casual
866,2,member
867,2,member
867,10,casual
868,17,casual
868,3,member
869,2,member
869,15,casual
870,11,casual
870,5,member
871,9,casual
871,5,member
872,4,member
872,21,casual
873,11,casual
873,4,member
874,14,casual
874,4,member
875,13,casual
875,3,member
876,2,member
876,11,casual
877,6,member
877,13,casual
878,13,casual
878,3,member
879,1,member
879,16,casual
880,23,casual
880,3,member
881,15,casual
881,2,member
882,13,casual
882,3,member
883,13,casual
883,5,member
884,14,casual
884,6,member
885,15,casual
885,4,member
886,13,casual
886,1,member
887,21,casual
888,4,member
888,11,casual
889,2,member
889,12,casual
890,4,member
890,13,casual
891,15,casual
891,3,member
892,7,casual
892,2,member
893,15,casual
893,3,member
894,14,casual
894,3,member
895,2,member
895,11,casual
896,6,member
896,15,casual
897,4,member
897,18,casual
898,17,casual
898,8,member
899,18,casual
900,14,casual
900,2,member
901,19,casual
901,1,member
902,4,member
902,16,casual
903,11,casual
903,3,member
904,12,casual
904,3,member
905,13,casual
905,4,member
906,8,member
906,11,casual
907,2,member
907,18,casual
908,9,casual
909,11,casual
909,4,member
910,13,casual
910,4,member
911,3,member
911,15,casual
912,18,casual
912,5,member
913,16,casual
913,6,member
914,4,member
914,10,casual
915,2,member
915,11,casual
916,3,member
916,16,casual
917,13,casual
917,3,member
918,12,casual
918,4,member
919,15,casual
919,2,member
920,11,casual
920,5,member
921,2,member
921,13,casual
922,14,casual
922,2,member
923,2,member
923,17,casual
924,16,casual
924,2,member
925,2,member
925,16,casual
926,1,member
926,12,casual
927,19,casual
927,5,member
928,2,member
928,12,casual
929,23,casual
929,2,member
930,15,casual
930,6,member
931,12,casual
932,13,casual
932,2,member
933,12,casual
933,2,member
934,1,member
934,15,casual
935,4,member
935,8,casual
936,7,casual
936,6,member
937,17,casual
937,4,member
938,19,casual
938,3,member
939,3,member
939,11,casual
940,19,casual
940,3,member
941,14,casual
941,4,member
942,16,casual
942,2,member
943,3,member
943,13,casual
944,6,member
944,13,casual
945,2,member
945,17,casual
946,11,casual
946,3,member
947,12,casual
947,2,member
948,13,casual
948,2,member
949,8,casual
949,2,member
950,2,member
950,9,casual
951,12,casual
951,1,member
952,5,member
952,14,casual
953,12,casual
953,1,member
954,18,casual
954,4,member
955,12,casual
955,2,member
956,8,casual
956,4,member
957,10,casual
957,1,member
958,3,member
958,12,casual
959,4,member
959,14,casual
960,7,casual
960,1,member
961,1,member
961,13,casual
962,12,casual
962,3,member
963,12,casual
963,5,member
964,12,casual
964,1,member
965,13,casual
965,4,member
966,11,casual
966,5,member
967,9,casual
967,3,member
968,1,member
968,19,casual
969,17,casual
969,3,member
970,8,casual
970,3,member
971,18,casual
971,6,member
972,15,casual
972,2,member
973,16,casual
973,1,member
974,15,casual
974,2,member
975,10,casual
975,2,member
976,6,member
976,9,casual
977,1,member
977,6,casual
978,2,member
978,18,casual
979,14,casual
979,5,member
980,12,casual
980,1,member
981,3,member
981,7,casual
982,1,member
982,15,casual
983,19,casual
984,1,member
984,13,casual
985,16,casual
985,1,member
986,6,member
986,15,casual
987,5,member
987,9,casual
988,16,casual
988,2,member
989,3,member
989,17,casual
990,3,member
990,10,casual
991,4,member
991,15,casual
992,15,casual
993,3,member
993,6,casual
994,1,member
994,12,casual
995,1,member
995,12,casual
996,3,member
996,11,casual
997,2,member
997,12,casual
998,5,member
998,7,casual
999,15,casual
1000,2,member
1000,19,casual
1001,2,member
1001,10,casual
1002,10,casual
1002,1,member
1003,10,casual
1003,3,member
1004,4,member
1004,15,casual
1005,9,casual
1005,1,member
1006,1,member
1006,13,casual
1007,2,member
1007,9,casual
1008,2,member
1008,13,casual
1009,13,casual
1009,2,member
1010,10,casual
1010,1,member
1011,3,member
1011,17,casual
1012,15,casual
1012,6,member
1013,11,casual
1013,2,member
1014,18,casual
1014,2,member
1015,4,member
1015,16,casual
1016,4,member
1016,9,casual
1017,13,casual
1017,2,member
1018,7,casual
1018,2,member
1019,10,casual
1019,3,member
1020,3,member
1020,10,casual
1021,1,member
1021,18,casual
1022,15,casual
1023,19,casual
1023,1,member
1024,1,member
1024,5,casual
1025,3,member
1025,17,casual
1026,12,casual
1026,3,member
1027,7,casual
1027,1,member
1028,16,casual
1028,1,member
1029,14,casual
1029,3,member
1030,4,member
1030,8,casual
1031,17,casual
1031,2,member
1032,4,member
1032,10,casual
1033,5,member
1033,11,casual
1034,10,casual
1035,3,member
1035,12,casual
1036,14,casual
1036,1,member
1037,10,casual
1038,12,casual
1038,2,member
1039,2,member
1039,12,casual
1040,4,casual
1040,5,member
1041,9,casual
1041,3,member
1042,5,casual
1042,2,member
1043,4,member
1043,11,casual
1044,2,member
1044,12,casual
1045,12,casual
1046,4,member
1046,11,casual
1047,13,casual
1047,2,member
1048,11,casual
1048,2,member
1049,8,casual
1049,3,member
1050,18,casual
1050,3,member
1051,15,casual
1051,1,member
1052,1,member
1052,7,casual
1053,12,casual
1053,2,member
1054,17,casual
1054,2,member
1055,10,casual
1055,3,member
